Data Image Name;Original Image Name
0034.jpg;images/ADE/training/shopping_and_dining/bakery__kitchen/ADE_train_00002140.jpg
0035.jpg;images/ADE/training/urban/street/ADE_train_00017756.jpg
0036.jpg;images/ADE/validation/urban/street/ADE_val_00000803.jpg
0037.jpg;images/ADE/training/home_or_hotel/nursery/ADE_frame_00000221.jpg
0038.jpg;images/ADE/validation/urban/street/ADE_val_00001789.jpg
0039.jpg;images/ADE/training/cultural/catwalk/ADE_train_00005327.jpg
0040.jpg;images/ADE/training/sports_and_leisure/baseball_field/ADE_frame_00000031.jpg
0041.jpg;images/ADE/training/urban/street/ADE_train_00017210.jpg
0042.jpg;images/ADE/training/sports_and_leisure/beer_garden/ADE_train_00004234.jpg
0043.jpg;images/ADE/training/cultural/catwalk/ADE_train_00005326.jpg
0044.jpg;images/ADE/validation/unclassified/outliers__awning_deck/ADE_val_00000656.jpg
0045.jpg;images/ADE/training/shopping_and_dining/clothing_store/ADE_train_00005786.jpg
0046.jpg;images/ADE/training/urban/street/ADE_train_00018147.jpg
0047.jpg;images/ADE/training/urban/apartment_building__outdoor/ADE_train_00001405.jpg
0048.jpg;images/ADE/training/sports_and_leisure/amusement_park/ADE_train_00001375.jpg
0049.jpg;images/ADE/training/urban/street/ADE_train_00018402.jpg
0050.jpg;images/ADE/training/sports_and_leisure/boxing_ring/ADE_frame_00000055.jpg
0051.jpg;images/ADE/training/cultural/art_studio/ADE_train_00001802.jpg
0052.jpg;images/ADE/training/urban/street/ADE_train_00017889.jpg
0053.jpg;images/ADE/training/shopping_and_dining/canteen/ADE_train_00005040.jpg
0054.jpg;images/ADE/training/urban/street/ADE_train_00017077.jpg
0055.jpg;images/ADE/training/urban/street/ADE_train_00018391.jpg
0056.jpg;images/ADE/training/unclassified/waterfall_fan/ADE_frame_00000303.jpg
0057.jpg;images/ADE/training/urban/street/ADE_train_00017583.jpg
0058.jpg;images/ADE/training/urban/street/ADE_train_00018585.jpg
0059.jpg;images/ADE/training/urban/street/ADE_train_00017474.jpg
0060.jpg;images/ADE/training/urban/street/ADE_train_00018378.jpg
0061.jpg;images/ADE/training/urban/street/ADE_train_00017477.jpg
0062.jpg;images/ADE/training/urban/street/ADE_train_00017117.jpg
0063.jpg;images/ADE/training/urban/street/ADE_train_00017858.jpg
0064.jpg;images/ADE/training/shopping_and_dining/clothing_store/ADE_frame_00000111.jpg
0065.jpg;images/ADE/training/unclassified/misc/ADE_train_00012579.jpg
0066.jpg;images/ADE/training/urban/street/ADE_train_00017475.jpg
0067.jpg;images/ADE/training/urban/street/ADE_train_00017179.jpg
0068.jpg;images/ADE/validation/work_place/bookbindery/ADE_val_00001191.jpg
0069.jpg;images/ADE/training/urban/street/ADE_train_00017135.jpg
0070.jpg;images/ADE/training/urban/street/ADE_train_00017666.jpg
0071.jpg;images/ADE/training/home_or_hotel/childs_room/ADE_train_00005469.jpg
0072.jpg;images/ADE/training/urban/house/ADE_train_00009712.jpg
0073.jpg;images/ADE/validation/sports_and_leisure/bowling_alley/ADE_val_00000197.jpg
0074.jpg;images/ADE/validation/urban/downtown/ADE_val_00001332.jpg
0075.jpg;images/ADE/training/urban/street/ADE_train_00017376.jpg
0076.jpg;images/ADE/validation/urban/street/ADE_val_00000851.jpg
0077.jpg;images/ADE/training/transportation/subway_interior/ADE_train_00018920.jpg
0078.jpg;images/ADE/validation/urban/street/ADE_val_00000847.jpg
0079.jpg;images/ADE/training/sports_and_leisure/baseball_field/ADE_frame_00000036.jpg
0080.jpg;images/ADE/training/urban/street/ADE_train_00017482.jpg
0081.jpg;images/ADE/training/urban/street/ADE_train_00017848.jpg
0082.jpg;images/ADE/training/unclassified/misc/ADE_train_00012564.jpg
0083.jpg;images/ADE/training/urban/street/ADE_train_00017657.jpg
0084.jpg;images/ADE/training/urban/street/ADE_train_00016902.jpg
0085.jpg;images/ADE/training/urban/street/ADE_train_00017328.jpg
0086.jpg;images/ADE/training/urban/street/ADE_train_00017779.jpg
0087.jpg;images/ADE/training/urban/street/ADE_train_00018014.jpg
0088.jpg;images/ADE/validation/urban/street/ADE_val_00000846.jpg
0089.jpg;images/ADE/training/work_place/chemistry_lab/ADE_train_00005424.jpg
0090.jpg;images/ADE/training/urban/roundabout/ADE_train_00015963.jpg
0091.jpg;images/ADE/training/work_place/geodesic_dome__indoor/ADE_train_00008600.jpg
0092.jpg;images/ADE/training/urban/street/ADE_train_00017247.jpg
0093.jpg;images/ADE/validation/sports_and_leisure/playground/ADE_val_00000707.jpg
0094.jpg;images/ADE/training/urban/highway/ADE_train_00009004.jpg
0095.jpg;images/ADE/training/urban/street/ADE_train_00018016.jpg
0096.jpg;images/ADE/training/home_or_hotel/game_room/ADE_train_00008367.jpg
0097.jpg;images/ADE/training/shopping_and_dining/shoe_shop/ADE_train_00016219.jpg
0098.jpg;images/ADE/training/urban/outhouse__outdoor/ADE_train_00014203.jpg
0099.jpg;images/ADE/validation/sports_and_leisure/raceway/ADE_val_00001720.jpg
0100.jpg;images/ADE/validation/urban/street/ADE_val_00000800.jpg
0101.jpg;images/ADE/training/urban/street/ADE_train_00017294.jpg
0102.jpg;images/ADE/training/shopping_and_dining/bakery__shop/ADE_train_00002200.jpg
0103.jpg;images/ADE/training/shopping_and_dining/fitting_room__interior/ADE_train_00007935.jpg
0104.jpg;images/ADE/validation/sports_and_leisure/badminton_court__indoor/ADE_val_00000055.jpg
0105.jpg;images/ADE/training/urban/carport__freestanding/ADE_train_00005118.jpg
0106.jpg;images/ADE/training/urban/street/ADE_frame_00000274.jpg
0107.jpg;images/ADE/validation/urban/highway/ADE_val_00001417.jpg
0108.jpg;images/ADE/training/sports_and_leisure/park/ADE_frame_00000232.jpg
0109.jpg;images/ADE/training/urban/street/ADE_train_00018386.jpg
0110.jpg;images/ADE/training/sports_and_leisure/bleachers__outdoor/ADE_train_00004324.jpg
0111.jpg;images/ADE/training/urban/street/ADE_train_00017878.jpg
0112.jpg;images/ADE/training/shopping_and_dining/delicatessen/ADE_train_00006641.jpg
0113.jpg;images/ADE/training/work_place/reception/ADE_frame_00000244.jpg
0114.jpg;images/ADE/training/urban/diner__outdoor/ADE_train_00006730.jpg
0115.jpg;images/ADE/training/urban/street/ADE_train_00016976.jpg
0116.jpg;images/ADE/training/cultural/art_studio/ADE_train_00001751.jpg
0117.jpg;images/ADE/training/sports_and_leisure/locker_room/ADE_frame_00000209.jpg
0118.jpg;images/ADE/training/urban/street/ADE_train_00018452.jpg
0119.jpg;images/ADE/training/urban/street/ADE_train_00018440.jpg
0120.jpg;images/ADE/training/cultural/throne_room/ADE_train_00019191.jpg
0121.jpg;images/ADE/training/nature_landscape/wave/ADE_frame_00000308.jpg
0122.jpg;images/ADE/training/sports_and_leisure/aquatic_theater/ADE_train_00001502.jpg
0123.jpg;images/ADE/training/urban/street/ADE_train_00016875.jpg
0124.jpg;images/ADE/training/nature_landscape/beach/ADE_frame_00000043.jpg
0125.jpg;images/ADE/validation/urban/bank__outdoor/ADE_val_00001065.jpg
0126.jpg;images/ADE/training/nature_landscape/creek/ADE_frame_00000123.jpg
0127.jpg;images/ADE/validation/urban/street/ADE_val_00000848.jpg
0128.jpg;images/ADE/training/urban/taxistand/ADE_train_00019072.jpg
0129.jpg;images/ADE/training/cultural/classroom/ADE_frame_00000107.jpg
0130.jpg;images/ADE/validation/cultural/aquarium/ADE_val_00000026.jpg
0131.jpg;images/ADE/training/shopping_and_dining/ticket_window__indoor/ADE_train_00019208.jpg
0132.jpg;images/ADE/training/urban/plaza/ADE_train_00015426.jpg
0133.jpg;images/ADE/training/urban/street/ADE_train_00016947.jpg
0134.jpg;images/ADE/training/sports_and_leisure/dugout/ADE_train_00007507.jpg
0135.jpg;images/ADE/training/unclassified/misc/ADE_train_00012653.jpg
0136.jpg;images/ADE/validation/urban/street/ADE_val_00000852.jpg
0137.jpg;images/ADE/training/shopping_and_dining/butchers_shop/ADE_train_00004909.jpg
0138.jpg;images/ADE/training/sports_and_leisure/park/ADE_train_00015017.jpg
0139.jpg;images/ADE/training/shopping_and_dining/checkout_counter/ADE_train_00005405.jpg
0140.jpg;images/ADE/validation/shopping_and_dining/great_hall/ADE_val_00000391.jpg
0141.jpg;images/ADE/validation/urban/street/ADE_val_00001812.jpg
0142.jpg;images/ADE/training/urban/desert_road/ADE_frame_00000133.jpg
0143.jpg;images/ADE/training/urban/street/ADE_train_00018436.jpg
0144.jpg;images/ADE/training/shopping_and_dining/checkout_counter/ADE_train_00005404.jpg
0145.jpg;images/ADE/training/urban/street/ADE_train_00018310.jpg
0146.jpg;images/ADE/validation/industrial/rubble/ADE_val_00001737.jpg
0147.jpg;images/ADE/training/urban/harbor/ADE_train_00008891.jpg
0148.jpg;images/ADE/training/urban/street/ADE_train_00018233.jpg
0149.jpg;images/ADE/training/work_place/anechoic_chamber/ADE_train_00001396.jpg
0150.jpg;images/ADE/training/urban/street/ADE_train_00017309.jpg
0151.jpg;images/ADE/training/urban/street/ADE_train_00018052.jpg
0152.jpg;images/ADE/training/urban/street/ADE_train_00018264.jpg
0153.jpg;images/ADE/training/urban/street/ADE_train_00016998.jpg
0154.jpg;images/ADE/validation/urban/street/ADE_val_00000818.jpg
0155.jpg;images/ADE/training/home_or_hotel/dorm_room/ADE_train_00007378.jpg
0156.jpg;images/ADE/training/sports_and_leisure/soccer_field/ADE_frame_00000264.jpg
0157.jpg;images/ADE/training/unclassified/misc/ADE_train_00013181.jpg
0158.jpg;images/ADE/training/urban/street/ADE_train_00018112.jpg
0159.jpg;images/ADE/training/home_or_hotel/poolroom__home/ADE_train_00015514.jpg
0160.jpg;images/ADE/training/sports_and_leisure/aquatic_theater/ADE_train_00001498.jpg
0161.jpg;images/ADE/validation/urban/street/ADE_val_00001804.jpg
0162.jpg;images/ADE/validation/urban/highway/ADE_val_00000404.jpg
0163.jpg;images/ADE/training/urban/greengrocery/ADE_train_00008716.jpg
0164.jpg;images/ADE/validation/urban/street/ADE_val_00000859.jpg
0165.jpg;images/ADE/validation/urban/moat__dry/ADE_val_00001547.jpg
0166.jpg;images/ADE/validation/urban/street/ADE_val_00000992.jpg
0167.jpg;images/ADE/training/urban/street/ADE_train_00018172.jpg
0168.jpg;images/ADE/training/urban/rice_paddy/ADE_frame_00000251.jpg
0169.jpg;images/ADE/validation/sports_and_leisure/sand_trap/ADE_val_00001989.jpg
0170.jpg;images/ADE/training/work_place/reading_room/ADE_train_00015702.jpg
0171.jpg;images/ADE/training/cultural/witness_stand/ADE_train_00020083.jpg
0172.jpg;images/ADE/training/sports_and_leisure/cardroom/ADE_train_00005099.jpg
0173.jpg;images/ADE/training/urban/street/ADE_train_00018518.jpg
0174.jpg;images/ADE/training/unclassified/athletic_field_outdoor/ADE_frame_00000018.jpg
0175.jpg;images/ADE/training/unclassified/misc/ADE_train_00012458.jpg
0176.jpg;images/ADE/training/urban/street/ADE_train_00017086.jpg
0177.jpg;images/ADE/training/sports_and_leisure/bullring/ADE_frame_00000064.jpg
0178.jpg;images/ADE/training/nature_landscape/dock/ADE_frame_00000139.jpg
0179.jpg;images/ADE/training/unclassified/misc/ADE_train_00012366.jpg
0180.jpg;images/ADE/training/sports_and_leisure/beer_garden/ADE_train_00004237.jpg
0181.jpg;images/ADE/training/urban/street/ADE_train_00017586.jpg
0182.jpg;images/ADE/training/shopping_and_dining/canteen/ADE_train_00005042.jpg
0183.jpg;images/ADE/training/urban/street/ADE_train_00018110.jpg
0184.jpg;images/ADE/training/urban/street/ADE_train_00017132.jpg
0185.jpg;images/ADE/training/shopping_and_dining/coffee_shop/ADE_train_00005933.jpg
0186.jpg;images/ADE/training/urban/street/ADE_train_00017044.jpg
0187.jpg;images/ADE/training/cultural/kindergarden_classroom/ADE_frame_00000190.jpg
0188.jpg;images/ADE/training/home_or_hotel/garage__indoor/ADE_train_00008478.jpg
0189.jpg;images/ADE/training/urban/street/ADE_train_00017500.jpg
0190.jpg;images/ADE/training/urban/street/ADE_train_00017062.jpg
0191.jpg;images/ADE/validation/industrial/seawall/ADE_val_00000744.jpg
0192.jpg;images/ADE/validation/urban/parking_lot/ADE_val_00001695.jpg
0193.jpg;images/ADE/validation/shopping_and_dining/bistro__indoor/ADE_val_00000188.jpg
0194.jpg;images/ADE/training/urban/street/ADE_train_00018137.jpg
0195.jpg;images/ADE/training/urban/street/ADE_train_00017112.jpg
0196.jpg;images/ADE/training/shopping_and_dining/beauty_salon/ADE_train_00003161.jpg
0197.jpg;images/ADE/training/urban/street/ADE_train_00017476.jpg
0198.jpg;images/ADE/training/urban/street/ADE_train_00017601.jpg
0199.jpg;images/ADE/training/urban/street/ADE_train_00017891.jpg
0200.jpg;images/ADE/training/work_place/reception/ADE_train_00015721.jpg
0201.jpg;images/ADE/training/work_place/reception/ADE_train_00015713.jpg
0202.jpg;images/ADE/training/urban/street/ADE_train_00017267.jpg
0203.jpg;images/ADE/validation/urban/street/ADE_val_00000832.jpg
0204.jpg;images/ADE/training/urban/street/ADE_train_00018405.jpg
0205.jpg;images/ADE/validation/shopping_and_dining/general_store__indoor/ADE_val_00000385.jpg
0206.jpg;images/ADE/training/sports_and_leisure/beer_garden/ADE_train_00004236.jpg
0207.jpg;images/ADE/training/sports_and_leisure/amusement_arcade/ADE_train_00001348.jpg
0208.jpg;images/ADE/training/transportation/airport_terminal/ADE_train_00001095.jpg
0209.jpg;images/ADE/training/transportation/galley/ADE_frame_00000164.jpg
0210.jpg;images/ADE/training/sports_and_leisure/park/ADE_train_00015057.jpg
0211.jpg;images/ADE/validation/urban/street/ADE_val_00001805.jpg
0212.jpg;images/ADE/validation/shopping_and_dining/restaurant/ADE_val_00000728.jpg
0213.jpg;images/ADE/training/urban/street/ADE_train_00018003.jpg
0214.jpg;images/ADE/training/nature_landscape/boardwalk/ADE_frame_00000047.jpg
0215.jpg;images/ADE/validation/urban/street/ADE_val_00001803.jpg
0216.jpg;images/ADE/training/urban/street/ADE_train_00018537.jpg
0217.jpg;images/ADE/training/urban/street/ADE_train_00018508.jpg
0218.jpg;images/ADE/training/urban/street/ADE_train_00017454.jpg
0219.jpg;images/ADE/validation/work_place/chemistry_lab/ADE_val_00001241.jpg
0220.jpg;images/ADE/validation/unclassified/misc/ADE_val_00000616.jpg
0221.jpg;images/ADE/training/urban/street/ADE_train_00017749.jpg
0222.jpg;images/ADE/training/urban/street/ADE_train_00018625.jpg
0223.jpg;images/ADE/validation/sports_and_leisure/beer_garden/ADE_val_00000185.jpg
0224.jpg;images/ADE/training/urban/street/ADE_train_00018618.jpg
0225.jpg;images/ADE/training/work_place/corridor/ADE_train_00006295.jpg
0226.jpg;images/ADE/validation/sports_and_leisure/fairway/ADE_val_00000345.jpg
0227.jpg;images/ADE/training/urban/street/ADE_train_00017728.jpg
0228.jpg;images/ADE/training/urban/street/ADE_train_00017506.jpg
0229.jpg;images/ADE/training/urban/street/ADE_train_00017369.jpg
0230.jpg;images/ADE/training/urban/street/ADE_train_00018257.jpg
0231.jpg;images/ADE/training/transportation/airport_terminal/ADE_train_00000002.jpg
0232.jpg;images/ADE/validation/urban/street/ADE_val_00000993.jpg
0233.jpg;images/ADE/training/home_or_hotel/bedroom/ADE_train_00004093.jpg
0234.jpg;images/ADE/training/home_or_hotel/dorm_room/ADE_train_00007398.jpg
0235.jpg;images/ADE/training/nature_landscape/coast/ADE_frame_00000115.jpg
0236.jpg;images/ADE/training/cultural/baptistry__indoor/ADE_train_00002347.jpg
0237.jpg;images/ADE/training/urban/street/ADE_train_00017956.jpg
0238.jpg;images/ADE/training/urban/street/ADE_train_00018600.jpg
0239.jpg;images/ADE/training/sports_and_leisure/hot_tub__outdoor/ADE_train_00009497.jpg
0240.jpg;images/ADE/training/work_place/cubicle__library/ADE_train_00006537.jpg
0241.jpg;images/ADE/validation/urban/arrival_gate__outdoor/ADE_val_00001031.jpg
0242.jpg;images/ADE/training/transportation/ferryboat__cargo_deck/ADE_train_00007747.jpg
0243.jpg;images/ADE/training/urban/street/ADE_train_00017584.jpg
0244.jpg;images/ADE/training/shopping_and_dining/auto_showroom/ADE_train_00002055.jpg
0245.jpg;images/ADE/training/urban/street/ADE_train_00018206.jpg
0246.jpg;images/ADE/validation/sports_and_leisure/batters_box/ADE_val_00000109.jpg
0247.jpg;images/ADE/training/work_place/conference_room/ADE_train_00006083.jpg
0248.jpg;images/ADE/training/urban/street/ADE_train_00018394.jpg
0249.jpg;images/ADE/training/urban/street/ADE_train_00017615.jpg
0250.jpg;images/ADE/training/work_place/cubicle__library/ADE_train_00006531.jpg
0251.jpg;images/ADE/training/unclassified/misc/ADE_train_00012340.jpg
0252.jpg;images/ADE/training/unclassified/gymnasium_indoor/ADE_frame_00000171.jpg
0253.jpg;images/ADE/validation/urban/street/ADE_val_00000795.jpg
0254.jpg;images/ADE/validation/urban/street/ADE_val_00000806.jpg
0255.jpg;images/ADE/training/transportation/airport_terminal/ADE_train_00001113.jpg
0256.jpg;images/ADE/training/urban/street/ADE_train_00017372.jpg
0257.jpg;images/ADE/training/urban/street/ADE_train_00017008.jpg
0258.jpg;images/ADE/validation/urban/market__outdoor/ADE_val_00000540.jpg
0259.jpg;images/ADE/training/home_or_hotel/hotel_room/ADE_train_00009642.jpg
0260.jpg;images/ADE/training/nature_landscape/badlands/ADE_train_00002094.jpg
0261.jpg;images/ADE/training/urban/street/ADE_train_00017162.jpg
0262.jpg;images/ADE/training/urban/street/ADE_train_00018399.jpg
0263.jpg;images/ADE/training/work_place/control_room/ADE_train_00006178.jpg
0264.jpg;images/ADE/training/urban/street/ADE_train_00017312.jpg
0265.jpg;images/ADE/training/urban/street/ADE_train_00018503.jpg
0266.jpg;images/ADE/training/urban/train_railway/ADE_train_00000963.jpg
0267.jpg;images/ADE/training/urban/street/ADE_train_00017989.jpg
0268.jpg;images/ADE/training/urban/street/ADE_train_00018610.jpg
0269.jpg;images/ADE/training/urban/street/ADE_train_00018548.jpg
0270.jpg;images/ADE/training/urban/air_base/ADE_train_00001027.jpg
0271.jpg;images/ADE/validation/nature_landscape/waterfall__plunge/ADE_val_00000919.jpg
0272.jpg;images/ADE/training/urban/street/ADE_train_00016924.jpg
0273.jpg;images/ADE/validation/urban/street/ADE_val_00000865.jpg
0274.jpg;images/ADE/training/work_place/call_center/ADE_train_00004960.jpg
0275.jpg;images/ADE/training/cultural/art_studio/ADE_train_00001773.jpg
0276.jpg;images/ADE/training/shopping_and_dining/thriftshop/ADE_train_00019189.jpg
0277.jpg;images/ADE/validation/work_place/conference_room/ADE_val_00000946.jpg
0278.jpg;images/ADE/training/shopping_and_dining/canteen/ADE_train_00005036.jpg
0279.jpg;images/ADE/training/urban/street/ADE_train_00017365.jpg
0280.jpg;images/ADE/training/urban/ferryboat__passenger_deck/ADE_train_00007760.jpg
0281.jpg;images/ADE/training/sports_and_leisure/campsite/ADE_train_00004968.jpg
0282.jpg;images/ADE/training/urban/street/ADE_train_00018514.jpg
0283.jpg;images/ADE/training/urban/street/ADE_train_00017925.jpg
0284.jpg;images/ADE/validation/sports_and_leisure/athletic_field__indoor/ADE_val_00000043.jpg
0285.jpg;images/ADE/training/urban/street/ADE_train_00017213.jpg
0286.jpg;images/ADE/training/work_place/lobby/ADE_train_00011556.jpg
0287.jpg;images/ADE/validation/unclassified/misc/ADE_val_00001579.jpg
0288.jpg;images/ADE/validation/cultural/art_studio/ADE_val_00001040.jpg
0289.jpg;images/ADE/training/transportation/airport_terminal/ADE_train_00001156.jpg
0290.jpg;images/ADE/training/transportation/airport_terminal/ADE_train_00001183.jpg
0291.jpg;images/ADE/training/cultural/art_studio/ADE_frame_00000016.jpg
0292.jpg;images/ADE/training/home_or_hotel/game_room/ADE_train_00008405.jpg
0293.jpg;images/ADE/training/work_place/control_room/ADE_train_00006177.jpg
0294.jpg;images/ADE/training/urban/street/ADE_train_00018497.jpg
0295.jpg;images/ADE/validation/sports_and_leisure/batting_cage__indoor/ADE_val_00001109.jpg
0296.jpg;images/ADE/training/urban/street/ADE_train_00018496.jpg
0297.jpg;images/ADE/training/unclassified/desert_sand/ADE_frame_00000135.jpg
0298.jpg;images/ADE/training/unclassified/volleyball_court_outdoor/ADE_frame_00000300.jpg
0299.jpg;images/ADE/training/urban/street/ADE_train_00017928.jpg
0300.jpg;images/ADE/training/urban/street/ADE_train_00018302.jpg
0301.jpg;images/ADE/validation/urban/street/ADE_val_00001799.jpg
0302.jpg;images/ADE/validation/urban/street/ADE_val_00001860.jpg
0303.jpg;images/ADE/training/urban/parking_lot/ADE_train_00015135.jpg
0304.jpg;images/ADE/training/urban/street/ADE_train_00016929.jpg
0305.jpg;images/ADE/training/urban/parking_lot/ADE_train_00015120.jpg
0306.jpg;images/ADE/validation/sports_and_leisure/casino__indoor/ADE_val_00000230.jpg
0307.jpg;images/ADE/training/transportation/airport_terminal/ADE_train_00001118.jpg
0308.jpg;images/ADE/training/unclassified/misc/ADE_train_00012599.jpg
0309.jpg;images/ADE/training/shopping_and_dining/bar/ADE_train_00002368.jpg
0310.jpg;images/ADE/training/urban/street/ADE_train_00017656.jpg
0311.jpg;images/ADE/training/unclassified/church_outdoor/ADE_frame_00000104.jpg
0312.jpg;images/ADE/training/urban/street/ADE_train_00018580.jpg
0313.jpg;images/ADE/training/transportation/airport_terminal/ADE_train_00001135.jpg
0314.jpg;images/ADE/validation/urban/labyrinth__outdoor/ADE_val_00000490.jpg
0315.jpg;images/ADE/training/urban/street/ADE_train_00018608.jpg
0316.jpg;images/ADE/training/transportation/airport_terminal/ADE_train_00001174.jpg
0317.jpg;images/ADE/training/urban/street/ADE_train_00017776.jpg
0318.jpg;images/ADE/training/urban/street/ADE_train_00018471.jpg
0319.jpg;images/ADE/training/work_place/booth__indoor/ADE_train_00004412.jpg
0320.jpg;images/ADE/training/home_or_hotel/window_seat/ADE_train_00020023.jpg
0321.jpg;images/ADE/training/urban/street/ADE_train_00018411.jpg
0322.jpg;images/ADE/training/urban/army_base/ADE_frame_00000012.jpg
0323.jpg;images/ADE/training/sports_and_leisure/cardroom/ADE_train_00005093.jpg
0324.jpg;images/ADE/training/urban/street/ADE_train_00017326.jpg
0325.jpg;images/ADE/validation/transportation/ferryboat__indoor/ADE_val_00000348.jpg
0326.jpg;images/ADE/training/urban/street/ADE_train_00017976.jpg
0327.jpg;images/ADE/training/urban/street/ADE_train_00017815.jpg
0328.jpg;images/ADE/training/urban/street/ADE_train_00017258.jpg
0329.jpg;images/ADE/training/urban/street/ADE_train_00016980.jpg
0330.jpg;images/ADE/validation/urban/street/ADE_val_00000841.jpg
0331.jpg;images/ADE/training/shopping_and_dining/barbershop/ADE_train_00002420.jpg
0332.jpg;images/ADE/training/urban/street/ADE_train_00016941.jpg
0333.jpg;images/ADE/training/unclassified/misc/ADE_train_00013687.jpg
0334.jpg;images/ADE/training/cultural/museum__indoor/ADE_train_00012236.jpg
0335.jpg;images/ADE/training/urban/street/ADE_train_00018343.jpg
0336.jpg;images/ADE/validation/urban/street/ADE_val_00000812.jpg
0337.jpg;images/ADE/training/urban/street/ADE_train_00017115.jpg
0338.jpg;images/ADE/training/urban/highway/ADE_train_00008998.jpg
0339.jpg;images/ADE/validation/urban/street/ADE_val_00000821.jpg
0340.jpg;images/ADE/training/urban/street/ADE_train_00017087.jpg
0341.jpg;images/ADE/training/unclassified/misc/ADE_train_00012863.jpg
0342.jpg;images/ADE/training/urban/street/ADE_train_00017709.jpg
0343.jpg;images/ADE/training/urban/street/ADE_train_00017688.jpg
0344.jpg;images/ADE/training/urban/street/ADE_train_00017725.jpg
0345.jpg;images/ADE/validation/shopping_and_dining/ice_cream_parlor/ADE_val_00000439.jpg
0346.jpg;images/ADE/training/nature_landscape/cliff/ADE_frame_00000109.jpg
0347.jpg;images/ADE/training/urban/street/ADE_train_00017539.jpg
0348.jpg;images/ADE/validation/unclassified/misc/ADE_val_00000977.jpg
0349.jpg;images/ADE/training/urban/street/ADE_train_00017702.jpg
0350.jpg;images/ADE/training/urban/restaurant_patio/ADE_train_00015818.jpg
0351.jpg;images/ADE/training/urban/street/ADE_train_00017741.jpg
0352.jpg;images/ADE/validation/home_or_hotel/shower/ADE_val_00001750.jpg
0353.jpg;images/ADE/training/urban/forest_road/ADE_frame_00000152.jpg
0354.jpg;images/ADE/training/home_or_hotel/bedroom/ADE_train_00004211.jpg
0355.jpg;images/ADE/training/unclassified/misc/ADE_train_00012865.jpg
0356.jpg;images/ADE/training/urban/street/ADE_train_00017801.jpg
0357.jpg;images/ADE/training/urban/street/ADE_train_00017063.jpg
0358.jpg;images/ADE/training/urban/street/ADE_train_00018578.jpg
0359.jpg;images/ADE/training/urban/street/ADE_train_00018072.jpg
0360.jpg;images/ADE/training/urban/street/ADE_train_00018412.jpg
0361.jpg;images/ADE/training/urban/street/ADE_train_00017399.jpg
0362.jpg;images/ADE/training/shopping_and_dining/wine_cellar__barrel_storage/ADE_train_00020044.jpg
0363.jpg;images/ADE/training/transportation/baggage_claim/ADE_train_00002118.jpg
0364.jpg;images/ADE/training/urban/street/ADE_train_00018177.jpg
0365.jpg;images/ADE/training/urban/street/ADE_train_00016961.jpg
0366.jpg;images/ADE/training/unclassified/misc/ADE_train_00012911.jpg
0367.jpg;images/ADE/training/urban/street/ADE_train_00016918.jpg
